GENE,TYPE,MAX_CORR
ADRA1B,EXP,0.0
ATP8B4,EXP,0.0
CCDC85A,EXP,0.0
CEBPD,EXP,0.0
CHRDL2,EXP,0.0
CILP,EXP,0.0
CLCA2,EXP,0.0
CMKLR1,EXP,0.0
COL15A1,EXP,0.0
COL8A2,EXP,0.0
COMP,EXP,0.0
CRISPLD2,EXP,0.0
CXCL14,EXP,0.0
DUOXA1,EXP,0.0
EGFLAM,EXP,0.0
ENDOD1,EXP,0.0
HGF,EXP,0.0
LAMA2,EXP,0.0
LRFN5,EXP,0.0
LTBR,EXP,0.0
MC1R,EXP,0.0
MFAP4,EXP,0.0
MMP23B,EXP,0.0
NFKBIZ,EXP,0.0
NLRP3,EXP,0.0
OGN,EXP,0.0
OSR1,EXP,0.0
PROK1,EXP,0.0
PTGES,EXP,0.0
PTPRR,EXP,0.0
REG4,EXP,0.0
RSPO2,EXP,0.0
S100A4,EXP,0.0
SERPINB13,EXP,0.0
SLC2A10,EXP,0.0
SLITRK6,EXP,0.0
SMCO3,EXP,0.0
SOCS3,EXP,0.0
SPRR3,EXP,0.0
SVEP1,EXP,0.0
TGFBR3,EXP,0.0
TNNT3,EXP,0.0
WFDC1,EXP,0.0
ZBED2,EXP,0.0
DAB2-rt,RT,0.999708
LINC00615-rt,RT,0.999128
PTN-rt,RT,0.998538
RAB3C-rt,RT,0.998228
LUM-rt,RT,0.997604
KCTD12-rt,RT,0.997123
TCTEX1D1-rt,RT,0.996282
CTSO-rt,RT,0.996090
KERA-rt,RT,0.995529
TGFBR2-rt,RT,0.994472
